Country,Gross tertiary education enrollment (%),Population,Title,Unemployment rate,Urban_population,Youtuber,category,channel_type,channel_type_rank,country_rank,created_date,created_month,created_year,highest_monthly_earnings,highest_yearly_earnings,lowest_monthly_earnings,lowest_yearly_earnings,rank,subscribers,subscribers_for_last_30_days,uploads,video views,video_views_for_the_last_30_days,video_views_rank,engagement_rate,views_per_upload
India,28.1,1366417754,ChuChu TV Nursery Rhymes & Kids Songs,5.36,471031528,ChuChu TV Nursery Rhymes & Kids Songs,Education,Education,3,7,9,Feb,2013,1700000,20200000,105100,1300000,25,65900000,500000,633,45757850229,420292000,18,0.758725341,72287283.14
India,28.1,1366417754,Shemaroo Filmi Gaane,5.36,471031528,Shemaroo Filmi Gaane,Music,Music,8,8,11,Jun,2010,1000000,12200000,63700,764900,26,65600000,400000,8502,28648024439,254961000,47,0.609756098,3369562.978
India,28.1,1366417754,Colors TV,5.36,471031528,Colors TV,Shows,Entertainment,9,9,13,Jun,2008,4800000,57000000,296900,3600000,27,64600000,1100000,112915,61510906457,1188000000,10,1.702786378,544754.0757
United States,88.2,328239523,Dude Perfect,14.7,270663028,Dude Perfect,Sports,Sports,3,9,17,Mar,2009,564800,6800000,35300,423600,29,59500000,100000,389,16241549158,141200000,182,0.168067227,41752054.39
United States,88.2,328239523,Movieclips,14.7,270663028,Movieclips,Film & Animation,Film,3,9,28,Apr,2006,458700,5500000,28700,344000,30,59500000,100000,39113,59316472754,114668000,11,0.168067227,1516541.118
India,28.1,1366417754,Tips Official,5.36,471031528,Tips Official,Music,Music,10,11,22,May,2007,1700000,20300000,105700,1300000,31,59300000,600000,4741,33431802698,422634000,30,1.011804384,7051635.245
Argentina,90,44938712,El Reino Infantil,9.79,41339571,El Reino Infantil,Music,Music,11,1,2,Jun,2011,2400000,29400000,153000,1800000,32,58400000,600000,1510,57271630846,611828000,13,1.02739726,37928232.35
India,28.1,1366417754,Wave Music,5.36,471031528,Wave Music,Music,Music,12,12,29,Oct,2014,928100,11100000,58000,696100,33,58000000,500000,19487,40602020243,232025000,21,0.862068966,2083543.914
India,28.1,1366417754,Aaj Tak,5.36,471031528,Aaj Tak,News & Politics,News,1,13,27,Aug,2009,1800000,22100000,115300,1400000,34,57600000,500000,283775,25307753534,461148000,71,0.868055556,89182.46334
India,28.1,1366417754,Sony Music India,5.36,471031528,Sony Music India,Music,Music,13,14,2,Sep,2009,1000000,12400000,64800,777900,35,57200000,300000,3882,28837144516,259310000,45,0.524475524,7428424.656
United States,88.2,328239523,EminemMusic,14.7,270663028,EminemMusic,Music,Music,14,10,9,Feb,2007,1000000,12500000,65000,780600,36,56900000,300000,156,27073872856,260193000,59,0.527240773,173550467
United States,88.2,328239523,Marshmello,14.7,270663028,Marshmello,Entertainment,Music,15,11,6,Apr,2015,448400,5400000,28000,336300,37,56400000,100000,436,14696003229,112100000,233,0.177304965,33706429.42
India,28.1,1366417754,YRF,5.36,471031528,YRF,Film & Animation,Music,16,15,7,Jun,2006,2000000,24600000,128000,1500000,38,54600000,500000,3707,35302243691,512093000,28,0.915750916,9523130.211
United Kingdom,60,66834405,Ed Sheeran,3.85,55908316,Ed Sheeran,Music,Music,18,1,8,Aug,2006,810900,9700000,50700,608200,40,53500000,100000,383,30367676736,202720000,39,0.186915888,79288973.2
India,28.1,1366417754,Infobells - Hindi,5.36,471031528,Infobells - Hindi,Education,Education,4,16,6,Jun,2014,3300000,39200000,204000,2400000,41,53300000,1600000,577,30516172739,815949000,37,3.001876173,52887647.73
United States,88.2,328239523,Taylor Swift,14.7,270663028,Taylor Swift,Music,Music,19,13,20,Sep,2006,2100000,25400000,132100,1600000,42,52900000,800000,216,29884657286,528392000,40,1.512287335,138354894.8
United States,88.2,328239523,Ariana Grande,14.7,270663028,Ariana Grande,Music,Music,20,14,22,Jan,2007,640900,7700000,40100,480600,43,52700000,100000,147,24004842608,160216000,78,0.189753321,163298249
United States,88.2,328239523,BillionSurpriseToys  - Nursery Rhymes & CartÔøΩ,14.7,270663028,BillionSurpriseToys  - Nursery Rhymes & Cartoons,Education,Education,5,15,25,Oct,2013,1100000,12800000,66700,800200,44,52200000,600000,847,9877365274,266747000,450,1.149425287,11661588.28
Chile,88.5,18952038,JuegaGerman,7.09,16610135,JuegaGerman,Gaming,Games,2,1,19,May,2013,265600,3200000,16600,199200,45,48100000,200000,2052,14631710289,66388000,237,0.415800416,7130463.104
United States,88.2,328239523,Billie Eilish,14.7,270663028,Billie Eilish,Music,Music,21,16,6,Feb,2013,587400,7000000,36700,440600,46,47900000,200000,65,13626331061,146862000,263,0.417536534,209635862.5
Russia,81.9,144373535,Get Movies,4.59,107683889,Get Movies,Entertainment,Film,4,1,16,Dec,2006,1200000,14700000,76600,919600,47,47500000,700000,3322,30788679536,306540000,35,1.473684211,9268115.453
India,28.1,1366417754,Shemaroo,5.36,471031528,Shemaroo,Entertainment,Entertainment,10,17,1,Sep,2007,931000,11200000,58200,698200,48,47400000,500000,11451,22519705183,232744000,97,1.054852321,1966614.722
United States,88.2,328239523,SonyMusicIndiaVEVO,14.7,270663028,SonyMusicIndiaVEVO,Music,Music,22,17,2,Sep,2009,1300000,15100000,78600,943500,50,46600000,400000,3444,27286058807,314505000,55,0.858369099,7922781.303
Cuba,41.4,11333483,aefour,1.64,8739135,A4,Gaming,People,5359,99,11,Mar,2006,0,5,0,0,51,46300000,10,1,22936630813,94,4053056,2.16E-05,22936630813
El Salvador,29.4,6453553,Fernanfloo,4.11,4694702,Fernanfloo,Gaming,Games,3,1,2,May,2011,135400,1600000,8500,101500,53,46100000,200000,543,10323391593,33842000,419,0.433839479,19011770.89
India,28.1,1366417754,Voot Kids,5.36,471031528,Voot Kids,Entertainment,Entertainment,13,18,23,Nov,2016,936000,11200000,58500,702000,54,45500000,400000,4660,21388725229,233988000,105,0.879120879,4589855.199
Brazil,51.3,212559417,Felipe Neto,12.08,183241641,Felipe Neto,Entertainment,Entertainment,14,2,16,May,2006,521400,6300000,32600,391100,55,45200000,200000,4331,16602198273,130359000,174,0.442477876,3833340.631
Brazil,51.3,212559417,VocÔøΩÔøΩÔøΩ,12.08,183241641,VocÔøΩÔøΩÔøΩ,Entertainment,Entertainment,15,3,1,Sep,2013,192100,2300000,12000,144100,56,44700000,100000,1558,7828610828,48032000,681,0.223713647,5024782.303
Pakistan,9,216565318,HAR PAL GEO,4.45,79927762,HAR PAL GEO,Entertainment,Entertainment,15,1,2,Jan,2008,5300000,64200000,334300,4000000,57,44600000,1300000,100755,41139050371,1337000000,20,2.914798206,408307.78
United States,88.2,328239523,Katy Perry,14.7,270663028,Katy Perry,Music,Music,24,19,1,Jun,2008,537000,6400000,33600,402700,59,44200000,100000,128,25458952022,134242000,70,0.226244344,198898062.7
Philippines,35.5,108116615,ABS-CBN Entertainment,2.15,50975903,ABS-CBN Entertainment,People & Blogs,Entertainment,16,1,16,Jul,2008,706500,8500000,44200,529900,61,44200000,300000,193890,50292540392,176629000,16,0.678733032,259386.974
Colombia,55.3,50339443,Shakira,9.71,40827302,Shakira,People & Blogs,Howto,3,1,16,Oct,2005,1400000,17000000,88400,1100000,64,43500000,500000,326,27568757295,353412000,52,1.149425287,84566740.17
Russia,81.9,144373535,˝˝˝˝˝˝˝˝ ˝˝ ˝˝˝˝˝˝˝˝˝˝˝˝˝˝,4.59,107683889,˝˝˝˝˝˝˝˝ ˝˝ ˝˝˝˝˝˝˝˝˝˝˝˝˝˝,Film & Animation,Education,6,2,31,May,2011,1200000,14600000,75900,911300,65,43200000,300000,1478,36458726976,303780000,26,0.694444444,24667609.59
Pakistan,9,216565318,ARY Digital HD,4.45,79927762,ARY Digital HD,Entertainment,Entertainment,18,2,11,Jul,2016,4600000,55200000,287300,3400000,66,43200000,900000,109871,37939780685,1149000000,24,2.083333333,345312.054
India,28.1,1366417754,Speed Records,5.36,471031528,Speed Records,Music,Music,26,19,22,Nov,2012,639000,7700000,39900,479300,67,42500000,100000,10938,26820902622,159757000,62,0.235294118,2452084.716
United States,88.2,328239523,Masha and The Bear,14.7,270663028,Masha and The Bear,Shows,Film,5,20,17,Sep,2014,2700000,32200000,167600,2000000,68,42400000,1000000,1218,24519022988,670459000,74,2.358490566,20130560.75
Barbados,65.4,287025,Rihanna,10.33,89431,Rihanna,Entertainment,Music,27,1,6,Nov,2005,731700,8800000,45700,548800,70,41900000,100000,84,22477745835,182926000,98,0.238663484,267592212.3
India,28.1,1366417754,Ishtar Music,5.36,471031528,Ishtar Music,Trailers,Music,28,20,22,Sep,2005,723800,8700000,45200,542800,71,41400000,400000,4510,17608931161,180942000,155,0.966183575,3904419.326
Mexico,40.2,126014024,Kimberly Loaiza,3.42,102626859,Kimberly Loaiza,People & Blogs,People,1,2,16,Nov,2016,547000,6600000,34200,410200,72,41300000,400000,291,5603111948,136745000,1157,0.968523002,19254680.23
United States,88.2,328239523,Little Baby Bum - Nursery Rhymes & Kids Songs,14.7,270663028,Little Baby Bum - Nursery Rhymes & Kids Songs,Education,Education,7,22,22,Jun,2011,395100,4700000,24700,296300,73,40900000,100000,2423,39450824833,98775000,22,0.244498778,16281809.67
United Arab Emirates,36.8,9770529,shfa2 - ÔøΩÔøΩ,2.35,8479744,shfa2 - ÔøΩÔøΩ,People & Blogs,People,2,1,6,Nov,2017,990900,11900000,61900,743200,77,39700000,300000,1596,23884824160,247731000,81,0.755667506,14965428.67
India,28.1,1366417754,CarryMinati,5.36,471031528,CarryMinati,Comedy,Comedy,2,21,30,Oct,2014,314800,3800000,19700,236100,79,39200000,700000,186,3294013141,78688000,2487,1.785714286,17709748.07
United States,88.2,328239523,XXXTENTACION,14.7,270663028,XXXTENTACION,Music,Music,29,24,23,Jun,2015,233400,2800000,14600,175100,80,39200000,100000,133,10507474316,58362000,403,0.255102041,79003566.29
Canada,68.9,36991981,Super Simple Songs - Kids Songs,5.56,30628482,Super Simple Songs - Kids Songs,Education,Education,8,2,8,Sep,2006,2200000,26900000,140200,1700000,81,39200000,400000,744,44900897958,560756000,19,1.020408163,60350669.3
